"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","SPOTIFY_PLAYLIST_LINK","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","id_genre","id_genre_perc","genre_correct","id_decade","id_decade_perc","decade_correct","id_location","id_location_perc","freq_context_words"
"28","80s_LOW_01","80s","Low","Barrados No Baile","Eduardo Dussek",NA,"1983","yes","""wop bop ba da doo da dah""",00:00:00,00:00:30,"https://open.spotify.com/playlist/3fo56ncpVjFWL4D6jkJDfV?si=c7ebf8eb7331429f",1,3,1,1.2,0.447213595499958,3.4,1.34164078649987,2.8,1.6431676725155,4,1,4,0.707106781186548,3,"Pop",62.5,0,"1970s",40,20,"Europe",60,""
"29","80s_LOW_02","80s","Low","Breaking Away","Jaki Graham",NA,"1986","no",NA,00:00:00,00:00:30,NA,2,3.2,0.836660026534076,1.6,0.894427190999916,2.4,0.894427190999916,2.8,1.30384048104053,2.6,1.14017542509914,2,0.707106781186548,3,"Film, RnB",28.5714285714286,0,"1980s",80,80,"USA_Canada",80,""
"30","80s_LOW_03","80s","Low","Changin' Light Of Love","Mixed Emotions",NA,"1987","yes","""oh""",00:02:17,00:02:47,NA,3,2.33333333333333,0.577350269189626,1,0,2.66666666666667,1.15470053837925,1.66666666666667,0.577350269189626,3,1,2.66666666666667,1.15470053837925,3,"Jazz",40,0,"1990s",66.6666666666667,33.3333333333333,"Australia, Europe, USA_Canada",33.3333333333333,""
"31","80s_LOW_04","80s","Low","Eve lève-toi","Julie Pietri",NA,"1980","yes","""oh""",00:03:27,00:03:57,NA,4,2.66666666666667,1.15470053837925,1.33333333333333,0.577350269189626,2.33333333333333,1.52752523165195,2.66666666666667,0.577350269189626,3.66666666666667,0.577350269189626,3.66666666666667,0.577350269189626,3,"Electronic",40,0,"1980s",66.6666666666667,66.6666666666667,"Asia, Europe, USA_Canada",33.3333333333333,""
"32","80s_LOW_05","80s","Low","Nosso Louco Amor","Gang 90 & Absurdetes",NA,"1983","no",NA,00:00:00,00:00:30,NA,5,3.5,0.577350269189626,1.25,0.5,2,0.816496580927726,3.25,0.957427107756338,3.5,1,3.5,0.577350269189626,3,"Pop",42.8571428571429,0,"1980s",75,75,"Europe",75,""
"33","80s_LOW_06","80s","Low","Summer Beach","Yukiko Okada",NA,"1985","yes","""oh""",00:02:01,00:02:31,NA,6,3,0,1.33333333333333,0.577350269189626,2.66666666666667,0.577350269189626,3,1,4.33333333333333,0.577350269189626,4,1,3,"Pop, Jazz",40,0,"1980s",66.6666666666667,66.6666666666667,"USA_Canada",100,""
"34","80s_LOW_07","80s","Low","是否","Julie Sue",NA,"1983","no",NA,00:00:00,00:00:30,NA,7,2.75,0.957427107756338,2.25,0.957427107756338,1.5,0.577350269189626,3.25,0.5,3.25,0.957427107756338,1.5,0.577350269189626,3,"Classical",60,0,"1960s, 1970s, 2000s, 2010s",25,0,"Europe",100,""
"35","80s_MED_08","80s","Medium","After Tonight","Amazulu",NA,"1986","no",NA,00:02:21,00:02:51,"https://open.spotify.com/playlist/4W5ABpXWLxBif3Y81llrAU?si=791423f038f04235",8,3,1,1.33333333333333,0.577350269189626,2.33333333333333,1.15470053837925,3.66666666666667,0.577350269189626,4,1,4,1,2,"Pop",50,0,"1980s",66.6666666666667,66.6666666666667,"Australia, Europe, USA_Canada",33.3333333333333,""
"36","80s_MED_09","80s","Medium","Honey Be Good","The Bible",NA,"1988","no",NA,00:00:00,00:00:30,NA,9,3.4,1.14017542509914,1.2,0.447213595499958,2.8,0.836660026534076,2.8,1.6431676725155,3.4,0.547722557505166,2.6,0.547722557505166,2,"Pop",71.4285714285714,0,"2010s",60,40,"USA_Canada",60,""
"37","80s_MED_10","80s","Medium","In Your Room","Idle Eyes",NA,"1984","no",NA,00:01:29,00:01:59,NA,10,3.75,0.5,2,2,2,1.15470053837925,2.75,1.25830573921179,3.75,0.5,2.75,0.5,2,"Pop",60,0,"1980s",75,75,"USA_Canada",75,""
"38","80s_MED_11","80s","Medium","Um Amor de Verão","Rádio Taxi",NA,"1984","no",NA,00:00:00,00:00:30,NA,11,3.33333333333333,0.577350269189626,1.33333333333333,0.577350269189626,4.33333333333333,1.15470053837925,3.66666666666667,1.15470053837925,4.33333333333333,0.577350269189626,3.66666666666667,0.577350269189626,2,"Film, Pop, Funk, VG",25,0,"1980s",66.6666666666667,66.6666666666667,"USA_Canada",100,""
"39","80s_MED_12","80s","Medium","Une autre histoire","Gérard Blanc",NA,"1988","no",NA,00:01:41,00:02:11,NA,12,3.5,1.29099444873581,1.5,1,2.25,0.957427107756338,3,1.4142135623731,3.75,0.5,4,0.816496580927726,2,"Pop, Electronic",40,0,"1980s",75,75,"Europe",100,""
"40","80s_MED_13","80s","Medium","Your Love Drives Me Crazy","Force MD's",NA,"1985","yes","""dah"", ""ooo""",00:00:00,00:00:30,NA,13,2.4,0.547722557505166,1,0,2.2,0.836660026534076,2.8,0.447213595499958,3.4,0.547722557505166,2.8,0.447213595499958,2,"Pop",37.5,0,"1980s",40,40,"USA_Canada",80,""
"41","80s_MED_14","80s","Medium","""P"" Da Vida (Toda La Vida)","Dominó",NA,"1985","yes","""woah"", ""ooo"", ""yeah""",00:03:17,00:03:47,NA,14,2.66666666666667,0.577350269189626,1.66666666666667,1.15470053837925,3.66666666666667,0.577350269189626,2.33333333333333,1.15470053837925,3.33333333333333,0.577350269189626,2.66666666666667,0.577350269189626,2,"Pop",50,0,"1970s, 1980s, 1990s",33.3333333333333,33.3333333333333,"Europe",66.6666666666667,""
