"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"11","60s_LOW_12","60s","Low","This Time the Dream's on Me","Anthony Newley",NA,"1963","no",NA,00:01:48,00:02:18,12,3.66666666666667,1.52752523165195,1.66666666666667,1.15470053837925,2.66666666666667,0.577350269189626,4.33333333333333,0.577350269189626,3.66666666666667,0.577350269189626,2.33333333333333,0.577350269189626,2,"Film",40,NA,"1960s, 1970s, pre1960",33.3333333333333,33.3333333333333,"USA_Canada",100,"music",100,""
"12","60s_LOW_13","60s","Low","Walk, Don't Run","The Ventures",NA,"1960","no",NA,00:00:00,00:00:30,13,4.25,0.957427107756338,3.25,0.957427107756338,2.5,1,4,0,4,0,4.25,0.5,1,"Rock",66.6666666666667,NA,"1960s",50,50,"USA_Canada",100,"music",50,""
"13","60s_LOW_14","60s","Low","Wheels (Cha Cha)","Joe Loss & His Orchestra",NA,"1968","no",NA,00:00:00,00:00:30,14,3,0,3,1,2.66666666666667,0.577350269189626,4.33333333333333,0.577350269189626,5,0,3.33333333333333,1.15470053837925,1,"RnB",50,NA,"1980s",66.6666666666667,33.3333333333333,"Latin_SouthAm",66.6666666666667,"fictional",66.6666666666667,""
"14","60s_MED_15","60s","Medium","Amore sto dicendo a te - Toy","The Casuals",NA,"1968","yes","""ooo""",00:02:03,00:02:33,15,2.5,0.577350269189626,1,0,3.5,0.577350269189626,3.25,0.5,3.75,0.5,3.75,0.5,2,"Pop, Funk, Film, Electronic",25,NA,"1990s, 2000s, 2010s, 2020s",25,0,"USA_Canada",50,"abstract, everyday, fictional, music",25,""
"15","60s_MED_16","60s","Medium","Blue Eyes Crying In the Rain","John D. Loudermilk",NA,"1968","no",NA,00:01:19,00:01:49,16,2.4,1.34164078649987,1,0,2.2,0.836660026534076,3.2,1.30384048104053,3.6,1.14017542509914,2.4,0.894427190999916,3,"Film",50,NA,"1990s",40,20,"USA_Canada",60,"autobioMedia, fictional, music",40,""
"16","60s_MED_17","60s","Medium","Cinnamon Girl","The Gentrys",NA,"1969","no",NA,00:01:44,00:02:14,17,2.5,1.29099444873581,1.75,0.957427107756338,3,0.816496580927726,2.75,0.957427107756338,3.25,0.5,2.75,0.957427107756338,3,"Country, Rock",42.8571428571429,NA,"1990s",75,0,"USA_Canada",100,"fictional",50,""
"17","60s_MED_18","60s","Medium","Close Your Eyes","Vic Dana",NA,"1966","no",NA,00:01:16,00:01:46,18,2.2,1.30384048104053,1,0,2.2,1.30384048104053,3,1.87082869338697,3.6,0.547722557505166,3,0.707106781186548,3,"Jazz",37.5,NA,"1980s",40,0,"Europe, USA_Canada",40,"music, none",40,""
"18","60s_MED_19","60s","Medium","I'm Waiting For The Man","The Velvet Underground",NA,"1967","no",NA,00:01:55,00:02:25,19,3.66666666666667,2.3094010767585,3,1.73205080756888,1.66666666666667,1.15470053837925,3.33333333333333,1.15470053837925,3.33333333333333,0.577350269189626,3.66666666666667,0.577350269189626,1,"Pop, Rock",50,NA,"1960s",66.6666666666667,66.6666666666667,"Europe",66.6666666666667,"music",66.6666666666667,""
"19","60s_MED_20","60s","Medium","Kyllikki","Georg Ots",NA,"1968","no",NA,00:01:50,00:02:20,20,2.75,0.5,1.75,0.957427107756338,3,0,3.5,1.29099444873581,3.5,1,3,0.816496580927726,2,"Folk",66.6666666666667,NA,"pre1960",50,25,"Europe",100,"autobioMedia",75,""
"20","60s_MED_21","60s","Medium","Through with You","The Lemon Pipers",NA,"1968","no",NA,00:01:14,00:01:44,21,3.4,1.14017542509914,1.4,0.547722557505166,2.8,1.30384048104053,3.2,1.48323969741913,2.8,1.09544511501033,3.2,1.30384048104053,2,"Country",37.5,NA,"1960s",40,40,"USA_Canada",80,"autobioMedia",60,""
"21","80s_HIGH_15","80s","High","Maneater","Hall & Oates",NA,"1982","no",NA,00:00:00,00:00:30,15,4,1.4142135623731,4,2,1.25,0.5,4.5,1,4,0.816496580927726,3.5,0.577350269189626,1,"Pop",60,NA,"1980s",75,75,"Europe",75,"autobioMedia, music",50,""
"22","80s_HIGH_16","80s","High","Sometimes","Erasure",NA,"1987","yes","""oh""",00:01:51,00:02:21,16,4.2,0.836660026534076,3.4,1.67332005306815,3,1.22474487139159,3.4,1.14017542509914,3.8,0.836660026534076,4,0.707106781186548,1,"Pop",42.8571428571429,NA,"1980s",60,60,"Europe",80,"music",60,""
"23","80s_HIGH_17","80s","High","Sweet Dreams (Are Made Of This)","Eurythmics",NA,"1983","no",NA,00:02:55,00:03:25,17,5,0,5,0,2.75,1.25830573921179,4.75,0.5,4.25,0.5,4,0.816496580927726,1,"Electronic",42.8571428571429,NA,"1980s",75,75,"Europe",100,"autobioMedia, music",50,""
"24","80s_HIGH_18","80s","High","Take On Me","a-ha",NA,"1985","yes","""ba""",00:00:00,00:00:30,18,5,0,5,0,3.4,0.894427190999916,4.8,0.447213595499958,4.4,0.547722557505166,4.8,0.447213595499958,1,"Pop",57.1428571428571,NA,"1980s",80,80,"Europe",100,"music",60,""
"25","80s_HIGH_19","80s","High","Total Eclipse of the Heart","Bonnie Tyler",NA,"1983","no",NA,00:02:10,00:02:40,19,4.66666666666667,0.577350269189626,4.33333333333333,1.15470053837925,3,1.73205080756888,3.66666666666667,0.577350269189626,3.66666666666667,0.577350269189626,3.33333333333333,0.577350269189626,1,"Pop",75,NA,"1980s",66.6666666666667,66.6666666666667,"USA_Canada",66.6666666666667,"music",100,""
"26","80s_HIGH_20","80s","High","Who Can It Be Now?","Men At Work",NA,"1981","yes","""yeah""",00:01:59,00:02:29,20,4.5,0.577350269189626,1,0,2,0,4,1.15470053837925,4,0.816496580927726,3.5,0.577350269189626,2,"Rock",66.6666666666667,NA,"1980s",75,75,"USA_Canada",75,"music",75,""
"27","80s_HIGH_21","80s","High","You're My Heart, You're My Soul","Modern Talking",NA,"1985","no",NA,00:00:00,00:00:30,21,3.6,1.51657508881031,1.6,1.34164078649987,3,1,4.6,0.547722557505166,4.2,0.447213595499958,4.4,0.547722557505166,2,"Electronic",40,NA,"1980s",80,80,"Europe",60,"autobioMedia, music",60,""
"28","80s_LOW_01","80s","Low","Barrados No Baile","Eduardo Dussek",NA,"1983","yes","""wop bop ba da doo da dah""",00:00:00,00:00:30,1,2.8,0.836660026534076,1.2,0.447213595499958,3.4,0.894427190999916,3.6,0.547722557505166,3.4,0.547722557505166,3.6,0.894427190999916,2,"Rock, Funk",37.5,NA,"1970s",60,20,"USA_Canada",80,"music",80,""
"29","80s_LOW_02","80s","Low","Breaking Away","Jaki Graham",NA,"1986","no",NA,00:00:00,00:00:30,2,2.6,1.14017542509914,1.2,0.447213595499958,2.2,0.836660026534076,2.4,1.14017542509914,2.6,1.34164078649987,1.6,1.34164078649987,3,"Jazz",37.5,NA,"1980s, 2000s",40,40,"USA_Canada",100,"music",80,""
"30","80s_LOW_03","80s","Low","Changin' Light Of Love","Mixed Emotions",NA,"1987","yes","""oh""",00:02:17,00:02:47,3,2.66666666666667,1.15470053837925,1.66666666666667,0.577350269189626,2.33333333333333,1.15470053837925,2.66666666666667,0.577350269189626,3,1,2.66666666666667,1.52752523165195,3,"Pop",66.6666666666667,NA,"1980s",66.6666666666667,66.6666666666667,"USA_Canada",66.6666666666667,"none",66.6666666666667,""
"31","80s_LOW_04","80s","Low","Eve lève-toi","Julie Pietri",NA,"1980","yes","""oh""",00:03:27,00:03:57,4,3,0.816496580927726,1,0,1.25,0.5,3,1.63299316185545,3,1.4142135623731,3,0.816496580927726,3,"Electronic",50,NA,"1980s",75,75,"Europe",100,"none",50,""
