"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"144","Electronic_MED_19","Electronic","Medium","Looped","Kiasmos",NA,"2014","no",NA,00:00:00,00:00:30,19,2.5,1.29099444873581,1,0,2.75,0.957427107756338,2.75,1.25830573921179,3.5,0.577350269189626,2.75,0.5,2,"Electronic, Ambient",40,50,"2010s",50,50,"USA_Canada",75,"music, none",50,""
"145","Electronic_MED_20","Electronic","Medium","The Distance","Totally Enormous Extinct Dinosaurs",NA,"2023","no",NA,00:04:21,00:04:51,20,2.33333333333333,0.577350269189626,1.66666666666667,1.15470053837925,2,1,3,1,3.33333333333333,1.15470053837925,2.66666666666667,0.577350269189626,2,"Electronic",50,66.6666666666667,"1970s, 1980s, 1990s",33.3333333333333,0,"USA_Canada",100,"music, sensory",66.6666666666667,""
"146","Electronic_MED_21","Electronic","Medium","Things Will Never Be There","JJ",NA,"2009","no",NA,00:00:00,00:00:30,21,2,0,1,0,2.33333333333333,1.15470053837925,2.33333333333333,1.15470053837925,3,0,3.33333333333333,0.577350269189626,2,"Film, Pop, Electronic, Dance",25,33.3333333333333,"2010s",66.6666666666667,0,"Latin_SouthAm",66.6666666666667,"music",66.6666666666667,""
"147","Film_HIGH_15","Film","High","Journey To The Real World","Tame Impala","Barbie","2023","no",NA,00:00:00,00:00:30,15,2.75,0.957427107756338,1.25,0.5,3,1.82574185835055,3.25,1.25830573921179,3.25,0.5,4,0.816496580927726,3,"Electronic, Dance",42.8571428571429,0,"1990s",50,0,"Europe, USA_Canada",50,"abstract",50,""
"148","Film_HIGH_16","Film","High","Main Theme (From ""The Dark Knight Rises"")","Hans Zimmer","The Dark Knight Rises","2005-2012","no",NA,00:00:00,00:00:30,16,4.25,0.5,1.75,1.5,3.5,1.29099444873581,4,0.816496580927726,3,1.4142135623731,3.5,1.29099444873581,3,"Classical, VG",33.3333333333333,25,"pre1960",50,25,"Europe, USA_Canada",50,"autobioMedia, fictional",75,""
"149","Film_HIGH_17","Film","High","Star Wars (Main Theme)","John Williams","Star Wars","1977-2023","no",NA,00:00:00,00:00:30,17,4,1,5,0,2.66666666666667,0.577350269189626,3.33333333333333,2.08166599946613,4,1,5,0,1,"Film",75,100,"1980s",66.6666666666667,33.3333333333333,"USA_Canada",66.6666666666667,"autobioMedia, fictional, music",66.6666666666667,""
"150","Film_HIGH_18","Film","High","The Avengers","Alan Silvestri","Avengers","2008-2023","no",NA,00:00:00,00:00:30,18,3.75,1.25830573921179,2.75,1.70782512765993,2.5,1.29099444873581,4.25,0.5,3.25,0.957427107756338,4.5,0.577350269189626,1,"Film",83.3333333333333,100,"2010s",50,0,"USA_Canada",100,"autobioMedia",100,""
"151","Film_HIGH_19","Film","High","The Glory Days","Michael Giacchino","The Incredibles","2004-2018","no",NA,00:00:00,00:00:30,19,3,1.4142135623731,1.5,0.577350269189626,2.5,1.29099444873581,4,0.816496580927726,4,0,4.25,0.5,3,"Film",75,75,"2000s",50,50,"USA_Canada",75,"autobioMedia",100,""
"152","Film_HIGH_20","Film","High","Theme From Jurassic Park","John Williams","Jurassic Park","1993-2022","no",NA,00:01:09,00:01:39,20,4.33333333333333,1.15470053837925,3,1.73205080756888,2.66666666666667,1.52752523165195,4,1,4.33333333333333,1.15470053837925,2.66666666666667,0.577350269189626,1,"Classical",50,33.3333333333333,"1990s",66.6666666666667,66.6666666666667,"USA_Canada",66.6666666666667,"autobioLife, autobioMedia, fictional",33.3333333333333,""
"153","Film_HIGH_21","Film","High","Top Gun Anthem","Harold Faltermeyer","Top Gun Maverick","2022","no",NA,00:00:00,00:00:30,21,3.33333333333333,1.52752523165195,1.66666666666667,1.15470053837925,2.66666666666667,0.577350269189626,3.66666666666667,1.15470053837925,3.33333333333333,0.577350269189626,1.66666666666667,0.577350269189626,3,"Classical",50,33.3333333333333,"1970s, 2020s, pre1960",33.3333333333333,33.3333333333333,"Europe",100,"autobioMedia",66.6666666666667,""
"154","Film_LOW_01","Film","Low","Hammer of the Gods: Opening Title","Benjamin Wallfisch","Hammer of the Gods","2013","no",NA,00:00:00,00:00:30,1,3.4,0.894427190999916,2.6,1.8165902124585,2.6,0.894427190999916,3.4,1.14017542509914,2.6,1.51657508881031,2.6,1.34164078649987,3,"Classical, Film",40,40,"1980s, 1990s, 2000s, 2010s, pre1960",20,20,"USA_Canada",60,"fictional",60,""
"155","Film_LOW_02","Film","Low","Main Titles","Marius Ruhland","Death of a Superhero","2012","no",NA,00:00:00,00:00:30,2,3.4,1.51657508881031,1.4,0.547722557505166,2.6,0.547722557505166,2.8,1.6431676725155,2.8,0.447213595499958,2.4,0.547722557505166,2,"Electronic, Ambient",37.5,20,"2010s",40,40,"USA_Canada",40,"music",60,""
"156","Film_LOW_03","Film","Low","Samajavaragamana","Sid Sriram","Ala Vaikunthapurramuloo","2020","no",NA,00:01:27,00:01:57,3,2.8,1.30384048104053,1.2,0.447213595499958,2.6,1.51657508881031,3.4,1.14017542509914,3.6,0.894427190999916,3.8,1.09544511501033,3,"Electronic",62.5,20,"2000s",60,0,"Asia",100,"music",60,""
"157","Film_LOW_04","Film","Low","The Streets of Miami","Christopher Hajian","Critical Thinking","2020","no",NA,00:00:00,00:00:30,4,3,1.58113883008419,1.2,0.447213595499958,3,1.58113883008419,3.8,1.6431676725155,4.2,0.836660026534076,4.4,0.547722557505166,3,"Jazz, Funk",40,0,"1960s",40,0,"Africa",60,"music",80,""
"158","Film_LOW_05","Film","Low","Troy's Theme","We Are Dark Angels","Dog Eat Dog","2017","no",NA,00:00:00,00:00:30,5,3.6,1.14017542509914,2,1,2,0.707106781186548,3.6,1.14017542509914,3.4,1.14017542509914,3.2,0.447213595499958,3,"Jazz",50,20,"1970s",60,0,"USA_Canada",80,"autobioMedia",60,""
"159","Film_LOW_06","Film","Low","Until Now","Jerome Dillon","Officer Down","2013","no",NA,00:00:00,00:00:30,6,3.75,0.5,2.75,1.25830573921179,2.75,1.70782512765993,3.75,1.89296944860009,3.25,1.5,2.5,1.29099444873581,1,"Film",50,75,"1990s",50,0,"Europe, USA_Canada",50,"music",50,""
"160","Film_LOW_07","Film","Low","Where Is My Dad","André Manoukian","Fonzy","2013","no",NA,00:00:00,00:00:30,7,2.5,1.73205080756888,1,0,2.75,1.70782512765993,4.5,0.577350269189626,4.5,0.577350269189626,3.75,0.957427107756338,3,"Electronic",40,0,"1960s, 1970s, 2000s, 2010s",25,25,"Latin_SouthAm",75,"music",75,""
"161","Film_MED_08","Film","Medium","Bob Wakes Up","David Newman","The Spy Next Door","2010","no",NA,00:00:00,00:00:30,8,3.2,0.836660026534076,1,0,4.2,0.836660026534076,4.2,0.447213595499958,4.2,0.447213595499958,4.4,0.547722557505166,3,"Film",66.6666666666667,80,"1970s",40,20,"Europe, USA_Canada",40,"autobioMedia",100,""
"162","Film_MED_09","Film","Medium","Carolina","David Buckley","From Paris with Love","2010","no",NA,00:00:00,00:00:30,9,3.25,0.957427107756338,1.75,1.5,2.75,1.5,3.75,0.5,2.25,1.5,3,0.816496580927726,3,"Film",60,75,"2000s",100,0,"USA_Canada",100,"autobioMedia, music",50,""
"163","Film_MED_10","Film","Medium","Hoffa Trailer","David Newman","Hoffa","1992","no",NA,00:00:00,00:00:30,10,3.75,0.957427107756338,1.5,1,1,0,3,0.816496580927726,2.75,0.5,2.75,0.5,2,"Film",80,100,"1970s",50,0,"USA_Canada",100,"autobioMedia",100,""
