CLIP_NAME,GENRE,FAMILIARITY,TRACK_TITLE,ARTIST,MEDIA_RELATION_or_PERFORMER,RELEASE_DATE,VOCALISATION,VOCALISATION_TYPE,CLIP_TIME_START,CLIP_TIME_END,SPOTIFY_PLAYLIST_LINK
Dance_HIGH_13,Dance,High,Renegade,Axwell /\ Ingrosso,,2017,no,,00:02:32,00:03:02,
Dance_HIGH_14,Dance,High,Sissy That Walk,RuPaul,,2014,no,,00:01:54,00:02:24,
Dance_LOW_15,Dance,Low,Dark Side Of The Moon - Original Extended,Ernesto vs. Bastian,,2005,no,,00:04:23,00:04:53,
Dance_LOW_16,Dance,Low,Helpless - Monster Mix,"Mÿon, Shane 54, Aruna",,2006,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/23O6HKnm6hsjGQImyJKK7l?si=0579db73ee6b492c
Dance_LOW_17,Dance,Low,I Love You - Cosmic Gate Remix,"Steven Moebius Albert, Ralph Kyau",,2012,no,,00:01:11,00:01:41,
Dance_LOW_18,Dance,Low,Make Me Want You - Dance Remix,Thomas Donovan,,1998,no,,00:00:00,00:00:30,
Dance_LOW_19,Dance,Low,Rock Music - (Don Disblo Remix),2 Faced,,2006,no,,00:04:30,00:05:00,
Dance_LOW_20,Dance,Low,Self Esteem (Klubbrockerz Mix),Stars ’n’ Stripes,,2006,no,,00:00:41,00:01:11,
Dance_LOW_21,Dance,Low,These R The Times,Da Sunlounge & Inland Knights,,2010,no,,00:00:00,00:00:30,
Dance_MED_01,Dance,Medium,California Dreamin' - Tek-House Extended,Royal Gigolos,,2017,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/5JX4p0dGFoKNuvg4QSwCfC?si=82a5c0b37c3b4802
Dance_MED_02,Dance,Medium,Dear Jessie,Rollergirl,,1999,no,,00:00:00,00:00:30,
Dance_MED_03,Dance,Medium,Do You Know (I Go Crazy),Angel City,,2004,no,,00:00:00,00:00:30,
Dance_MED_04,Dance,Medium,La Niña del Volcán (Polocorp Remix),YoSoyMatt,,2019,no,,00:03:00,00:03:30,
Dance_MED_05,Dance,Medium,REACT (feat. Ella Henderson) - Don Diablo Remix,Switch Disco,,2023,no,,00:00:00,00:00:30,
Dance_MED_06,Dance,Medium,Summer Days - Radio Edit,Sean Finn,,2016,yes,"""-ah""",00:00:31,00:01:01,
Dance_MED_07,Dance,Medium,Ты засадишь,EA7,,2017,no,,00:03:08,00:03:38,
Electronic_HIGH_01,Electronic,High,Crimewaves,"Crystal Castles, HEALTH",,2008,no,,00:02:50,00:03:20,https://open.spotify.com/playlist/5TiXNmkHGSl5VZME3Zn3vs?si=061ea59cf9184d78
Electronic_HIGH_02,Electronic,High,Electric Feel,MGMT,,2007,no,,00:00:00,00:00:30,
Electronic_HIGH_03,Electronic,High,Genesis,Grimes,,2012,no,,00:00:00,00:00:30,
Electronic_HIGH_04,Electronic,High,One More Time,Daft Punk,,2001,no,,00:01:34,00:02:04,
Electronic_HIGH_05,Electronic,High,Outside,"Calvin Harris, Ellie Goulding",,2014,yes,"""dah""",00:03:10,00:03:40,
Electronic_HIGH_06,Electronic,High,The Other Side Of Paradise,Glass Animals,,2016,yes,"""oogh"", ""ha""",00:00:00,00:00:30,
Electronic_HIGH_07,Electronic,High,Venus As A Boy,Björk,,1993,no,,00:03:54,00:04:24,
Electronic_LOW_08,Electronic,Low,El Orden del Universo,D3ndron,,2009,no,,00:00:00,00:00:30,https://open.spotify.com/playlist/00syGQ9r8Gc4io6cI8xkxb?si=adc76a2a84b247e8
Electronic_LOW_09,Electronic,Low,Expansion,SUPREEMO,,2021,no,,00:00:00,00:00:30,
Electronic_LOW_10,Electronic,Low,Inflicted_1,coldrose,,2020,no,,00:00:17,00:00:47,
