"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"87","Country_HIGH_18","Country","High","I'm So Lonesome I Could Cry","Johnny Cash",NA,"2002","no",NA,00:01:40,00:02:10,18,3.2,0.836660026534076,2,1.22474487139159,2.8,1.09544511501033,3.6,0.547722557505166,3.4,0.894427190999916,2.2,1.09544511501033,3,"Country",57.1428571428571,80,"1970s",40,20,"USA_Canada",80,"music",80,""
"88","Country_HIGH_19","Country","High","Something in the Orange","Zach Bryan",NA,"2022","no",NA,00:00:02,00:00:32,19,4.33333333333333,1.15470053837925,2.33333333333333,2.3094010767585,2.33333333333333,1.52752523165195,4.33333333333333,1.15470053837925,4,1,2.66666666666667,1.15470053837925,1,"Country",50,66.6666666666667,"1970s, 2000s, 2010s",33.3333333333333,0,"USA_Canada",100,"music",100,""
"89","Country_HIGH_20","Country","High","The House of the Rising Sun","Dolly Parton",NA,"1973","yes","""ooo""",00:03:15,00:03:45,20,3,1.4142135623731,1.25,0.5,2,0.816496580927726,3.5,1,3.5,0.577350269189626,3.5,0.577350269189626,2,"Funk",57.1428571428571,0,"1970s",75,75,"USA_Canada",100,"autobioMedia, fictional, music",50,""
"90","Country_HIGH_21","Country","High","august","Taylor Swift",NA,"2020","yes","""ooo"", ""yeah""",00:03:27,00:03:57,21,3.25,1.5,1.75,0.957427107756338,2.25,0.5,4.5,0.577350269189626,3.75,1.25830573921179,3.25,0.957427107756338,2,"Film",33.3333333333333,0,"1990s",75,0,"USA_Canada",100,"fictional",50,""
"91","Country_LOW_01","Country","Low","Bighorn Samba","Earth Bombs Mars",NA,"2008","no",NA,00:00:00,00:00:30,1,3.5,0.577350269189626,2.75,1.5,2.25,0.5,3.75,0.5,3.75,0.5,3.25,0.957427107756338,1,"Electronic, Jazz",33.3333333333333,0,"1980s",50,25,"USA_Canada",75,"music",75,""
"92","Country_LOW_02","Country","Low","Hunting Moon","Dan Cugnet",NA,"2024","no",NA,00:03:57,00:04:27,2,2.75,1.5,1.25,0.5,1.5,1,3,0.816496580927726,3.25,0.5,4,0.816496580927726,2,"Country, Film",33.3333333333333,50,"1990s, 2010s",50,0,"USA_Canada",75,"music",50,""
"93","Country_LOW_03","Country","Low","Lately","Devin & The Straights",NA,"2008","no",NA,00:02:25,00:02:55,3,4.25,0.5,1,0,2,0,3.5,1.73205080756888,3.5,1.73205080756888,2.5,1,3,"Country",50,75,"1990s",50,25,"USA_Canada",100,"fictional, music",50,""
"94","Country_LOW_04","Country","Low","Ocean Side","The Founders",NA,"1997","no",NA,00:03:25,00:03:55,4,3.2,0.836660026534076,1.6,0.894427190999916,2.4,0.894427190999916,3.2,0.836660026534076,3.4,0.547722557505166,3.8,0.447213595499958,2,"Country, Funk",33.3333333333333,40,"2010s",40,20,"USA_Canada",80,"music",100,""
"95","Country_LOW_05","Country","Low","This Heart of Mine","Crandall Creek",NA,"2020","no",NA,00:01:34,00:02:04,5,4,1.4142135623731,2.8,1.30384048104053,2.4,1.14017542509914,4.2,0.836660026534076,3.4,0.547722557505166,3,0.707106781186548,1,"Country",57.1428571428571,80,"2000s",60,0,"USA_Canada",100,"music",80,""
"96","Country_LOW_06","Country","Low","Waiting for You to Call","Mickey Keller and the Spitfires",NA,"2010","no",NA,00:00:45,00:01:15,6,4.2,0.836660026534076,2,1.4142135623731,2.2,1.6431676725155,4.6,0.547722557505166,4.6,0.894427190999916,4.4,0.547722557505166,1,"Rock",66.6666666666667,20,"pre1960",80,0,"USA_Canada",100,"autobioLife, music",40,""
"97","Country_LOW_07","Country","Low","Wrong Side Hill","Slim River Boys",NA,"2018","no",NA,00:01:37,00:02:07,7,3.6,1.51657508881031,2,1.22474487139159,2,0.707106781186548,3.2,1.48323969741913,4.2,0.836660026534076,3.8,1.30384048104053,2,"Folk",33.3333333333333,20,"1990s",40,0,"USA_Canada",80,"autobioLife, music",40,""
"98","Country_MED_08","Country","Medium","Brenda Put Your Bra On","Ashley McBryde",NA,"2022","no",NA,00:00:00,00:00:30,8,4.75,0.5,2.5,1.91485421551268,2,0.816496580927726,4.5,0.577350269189626,4.25,0.5,3,0.816496580927726,1,"Country",100,100,"1970s, 2000s, 2010s, 2020s",25,25,"USA_Canada",100,"music",50,""
"99","Country_MED_09","Country","Medium","Drowning","Radio Company",NA,"2019","yes","""ooo""",00:00:08,00:00:38,9,3.6,1.67332005306815,2.8,1.78885438199983,3.2,0.447213595499958,3.6,0.547722557505166,3,1.22474487139159,2.6,0.894427190999916,1,"Rock",50,0,"1960s, 1970s, 2000s, 2010s, 2020s",20,20,"USA_Canada",80,"music",80,""
"100","Country_MED_10","Country","Medium","If Your Conscience Can't Stop You (How Can I)","Jan Howard",NA,"1960","no",NA,00:01:06,00:01:36,10,4.33333333333333,0.577350269189626,1.33333333333333,0.577350269189626,2.33333333333333,0.577350269189626,3.33333333333333,2.08166599946613,3.66666666666667,1.52752523165195,3.66666666666667,0.577350269189626,2,"Country",100,100,"1960s",100,100,"USA_Canada",100,"music",100,""
"101","Country_MED_11","Country","Medium","Island Boy","Phil Vassar",NA,"2000","yes","""ooo"", ""yeah""",00:03:17,00:03:47,11,2.6,1.8165902124585,2,1.4142135623731,2.8,0.836660026534076,2.6,1.14017542509914,3,0.707106781186548,3.6,1.14017542509914,2,"Classical, Pop",33.3333333333333,20,"1990s",40,20,"USA_Canada",100,"music",80,""
"102","Country_MED_12","Country","Medium","Love Me","The Little Willies",NA,"2006","no",NA,00:01:50,00:02:20,12,3.5,0.577350269189626,3,1.63299316185545,3,1.82574185835055,5,0,4.25,0.957427107756338,3.5,1.29099444873581,1,"Jazz",75,0,"1970s",50,0,"USA_Canada",75,"music",50,""
"103","Country_MED_13","Country","Medium","Sunny Day","Deana Carter",NA,"2005","no",NA,00:04:00,00:04:30,13,4.25,0.5,2.25,0.957427107756338,3,1.4142135623731,4,0.816496580927726,4,0.816496580927726,3.25,0.5,1,"Rock",50,25,"1980s",50,0,"USA_Canada",100,"music, sensory",50,""
"104","Country_MED_14","Country","Medium","The Captain","Kasey Chambers",NA,"1999","no",NA,00:03:50,00:04:20,14,3.8,0.447213595499958,1,0,2,1,3.8,1.30384048104053,3.2,0.836660026534076,3,0.707106781186548,3,"Country, Pop",33.3333333333333,40,"2000s",40,20,"USA_Canada",80,"music",80,""
"105","Dance_HIGH_08","Dance","High","Cry for You","September",NA,"2007","no",NA,00:00:00,00:00:30,8,3.75,1.5,2.5,1.91485421551268,2,0.816496580927726,4,1.4142135623731,4.75,0.5,4.75,0.5,1,"Electronic",57.1428571428571,50,"1980s, 1990s, 2010s, 2020s",25,0,"Europe, USA_Canada",50,"abstract",50,""
"106","Dance_HIGH_09","Dance","High","Drinkee","Sofi Tukker",NA,"2016","yes","""dah"", ""doo""",00:03:23,00:03:53,9,2.8,1.30384048104053,1.6,1.34164078649987,3.2,0.836660026534076,3.4,1.51657508881031,3.6,0.894427190999916,3.4,0.547722557505166,2,"Electronic, Dance",28.5714285714286,40,"2020s",40,20,"Europe",60,"everyday, music",40,""
"107","Dance_HIGH_10","Dance","High","Everytime We Touch","Cascada",NA,"2010","no",NA,00:00:56,00:01:26,10,4,1,2.33333333333333,2.3094010767585,2,1,3.66666666666667,1.52752523165195,4,1,4.66666666666667,0.577350269189626,1,"Electronic",60,66.6666666666667,"2000s",66.6666666666667,0,"USA_Canada",66.6666666666667,"autobioLife",66.6666666666667,""
"108","Dance_HIGH_11","Dance","High","Get Back (ASAP)","Alexandra Stan",NA,"2011","yes","""yeah""",00:00:00,00:00:30,11,3.2,1.30384048104053,2.2,1.30384048104053,3.6,0.547722557505166,3.4,0.894427190999916,4,0.707106781186548,4.4,0.547722557505166,2,"Dance",50,80,"2010s, 2020s",40,40,"USA_Canada",80,"music",80,""
"109","Dance_HIGH_12","Dance","High","L’Amour Toujours","Gigi D’Agostino",NA,"2001","no",NA,00:00:00,00:00:30,12,3.75,0.957427107756338,2.25,1.5,2.5,1.29099444873581,4.5,0.577350269189626,4.5,1,4.5,0.577350269189626,1,"Electronic",50,25,"1980s, 1990s, 2000s, 2010s",25,25,"USA_Canada",50,"music",50,""
"110","Dance_HIGH_13","Dance","High","Renegade","Axwell /\ Ingrosso",NA,"2017","no",NA,00:02:32,00:03:02,13,2.75,0.5,1.75,0.957427107756338,2,1.4142135623731,3.25,0.957427107756338,4,0.816496580927726,4,0,2,"Electronic",60,0,"1980s",50,0,"USA_Canada",50,"abstract, autobioMedia, everyday, music, none",25,""
"111","Dance_HIGH_14","Dance","High","Sissy That Walk","RuPaul",NA,"2014","no",NA,00:01:54,00:02:24,14,3,1.22474487139159,1.4,0.894427190999916,3.8,1.09544511501033,3.6,1.14017542509914,4,0.707106781186548,4.6,0.547722557505166,2,"Electronic",42.8571428571429,20,"2010s",60,60,"USA_Canada",80,"music",60,""
